Q-value,Protein Type,Protein Uniprot,Protein Label
0.0003532320734722,sp,Q96QK1,VPS35_HUMAN
0.0003532320734722,sp,O00471,EXOC5_HUMAN
0.0003532320734722,sp,Q14204,DYHC1_HUMAN
0.0003532320734722,sp,P02786,TFR1_HUMAN
0.0003532320734722,sp,Q9BT23,LIMD2_HUMAN
0.0003532320734722,sp,P61604,CH10_HUMAN
0.0003532320734722,sp,P32119,PRDX2_HUMAN
0.0003532320734722,sp,P35908,K22E_HUMAN
0.0003532320734722,sp,P02769,ALBU_BOVIN
0.0003532320734722,sp,P08238,HS90B_HUMAN
0.0003532320734722,sp,Q9H5Q4,TFB2M_HUMAN
0.0003532320734722,sp,P50454,SERPH_HUMAN
0.0003532320734722,sp,P04264,K2C1_HUMAN
0.0003532320734722,sp,P02533,K1C14_HUMAN
0.0003532320734722,sp,Q08211,DHX9_HUMAN
0.0003532320734722,sp,P08670,VIME_HUMAN
0.0003532320734722,sp,P08579,RU2B_HUMAN
0.0003532320734722,sp,P30101,PDIA3_HUMAN
0.0003532320734722,sp,O15372,EIF3H_HUMAN
0.0003532320734722,sp,Q9UDW1,QCR9_HUMAN
0.0003532320734722,sp,P04843,RPN1_HUMAN
0.0003532320734722,sp,O94886,CSCL1_HUMAN
0.0003532320734722,sp,P01834,IGKC_HUMAN
0.0003532320734722,sp,P11498,PYC_HUMAN
0.0003532320734722,sp,P07237,PDIA1_HUMAN
0.0003532320734722,sp,Q16531,DDB1_HUMAN
0.0003532320734722,sp,P62249,RS16_HUMAN
0.0003532320734722,sp,P61586,RHOA_HUMAN
0.0003532320734722,sp,Q07960,RHG01_HUMAN
0.0003532320734722,sp,P08865,RSSA_HUMAN
0.0003532320734722,sp,P51808,DYLT3_HUMAN
0.0003532320734722,sp,Q9H7Z7,PGES2_HUMAN
0.0003532320734722,sp,Q5T160,SYRM_HUMAN
0.0003532320734722,sp,Q16762,THTR_HUMAN
0.0003532320734722,sp,P35579,MYH9_HUMAN
0.0003532320734722,sp,P13639,EF2_HUMAN
0.0003532320734722,sp,P11021,BIP_HUMAN
0.0003532320734722,sp,P11142,HSP7C_HUMAN
0.0003532320734722,sp,P04080,CYTB_HUMAN
0.0003532320734722,sp,Q9Y6D5,BIG2_HUMAN
0.0003532320734722,sp,Q9Y490,TLN1_HUMAN
0.0003532320734722,sp,P04114,APOB_HUMAN
0.0003532320734722,sp,Q14683,SMC1A_HUMAN
0.0003532320734722,sp,P60709,ACTB_HUMAN
0.0003532320734722,sp,P23921,RIR1_HUMAN
0.0003532320734722,sp,Q15363,TMED2_HUMAN
0.0003532320734722,sp,P06576,ATPB_HUMAN
0.0003532320734722,sp,P07737,PROF1_HUMAN
0.0003532320734722,sp,P62877,RBX1_HUMAN
0.0003532320734722,sp,P50402,EMD_HUMAN
0.0003532320734722,sp,Q6P9B6,MEAK7_HUMAN
0.0003532320734722,sp,Q9ULC3,RAB23_HUMAN
0.0003532320734722,sp,Q04695,K1C17_HUMAN
0.0003532320734722,sp,P35527,K1C9_HUMAN
0.0003532320734722,sp,Q7L5N7,PCAT2_HUMAN
0.0003532320734722,sp,P83881,RL36A_HUMAN
0.0003532320734722,sp,P33991,MCM4_HUMAN
0.0003532320734722,sp,Q09666,AHNK_HUMAN
0.0003532320734722,sp,Q6P2Q9,PRP8_HUMAN
0.0003532320734722,sp,P38646,GRP75_HUMAN
0.0003532320734722,sp,Q96RS6,NUDC1_HUMAN
0.0003532320734722,sp,Q96SB3,NEB2_HUMAN
0.0003532320734722,sp,Q9BVK6,TMED9_HUMAN
0.0003532320734722,sp,P69905,HBA_HUMAN
0.0003532320734722,sp,O75153,CLU_HUMAN
0.0003532320734722,sp,P18124,RL7_HUMAN
0.0003532320734722,sp,P19387,RPB3_HUMAN
0.0003532320734722,sp,P06396,GELS_HUMAN
0.0003532320734722,sp,O43681,GET3_HUMAN
0.0003532320734722,sp,P05161,ISG15_HUMAN
0.0003532320734722,sp,P08727,K1C19_HUMAN
0.0003532320734722,sp,Q14197,ICT1_HUMAN
0.0003532320734722,sp,Q99638,RAD9A_HUMAN
0.0003532320734722,sp,P15144,AMPN_HUMAN
0.0003532320734722,sp,P00761,TRYP_PIG
0.0003532320734722,sp,Q5D862,FILA2_HUMAN
0.0003532320734722,sp,P55072,TERA_HUMAN
0.0003532320734722,sp,Q9BX68,HINT2_HUMAN
0.0003532320734722,sp,Q86YZ3,HORN_HUMAN
0.0003532320734722,sp,Q9NR99,MXRA5_HUMAN
0.0003532320734722,sp,Q9H2M9,RBGPR_HUMAN
0.0003532320734722,sp,O15143,ARC1B_HUMAN
0.0003532320734722,sp,P49411,EFTU_HUMAN
0.0003532320734722,sp,P27797,CALR_HUMAN
0.0003532320734722,sp,Q9UNS2,CSN3_HUMAN
0.0003532320734722,sp,P10809,CH60_HUMAN
0.0003532320734722,sp,Q99798,ACON_HUMAN
0.0003532320734722,sp,P30040,ERP29_HUMAN
0.0003532320734722,sp,O00151,PDLI1_HUMAN
0.0003532320734722,sp,Q9UBE0,SAE1_HUMAN
0.0003532320734722,sp,Q99497,PARK7_HUMAN
0.0003532320734722,sp,Q96DG6,CMBL_HUMAN
0.0003532320734722,sp,Q9H845,ACAD9_HUMAN
0.0003532320734722,sp,Q01581,HMCS1_HUMAN
0.0003532320734722,sp,O94826,TOM70_HUMAN
0.0003532320734722,sp,P31153,METK2_HUMAN
0.0003532320734722,sp,Q9H9B4,SFXN1_HUMAN
0.0003532320734722,sp,P42704,LPPRC_HUMAN
0.0003532320734722,sp,P27708,PYR1_HUMAN
0.0003532320734722,sp,P18031,PTN1_HUMAN
0.0003532320734722,sp,P09211,GSTP1_HUMAN
0.0003532320734722,sp,P40939,ECHA_HUMAN
0.0003532320734722,sp,P62937,PPIA_HUMAN
0.0003532320734722,sp,P35237,SPB6_HUMAN
0.0003532320734722,sp,O00299,CLIC1_HUMAN
0.0003532320734722,sp,P49792,RBP2_HUMAN
0.0003532320734722,sp,P49327,FAS_HUMAN
0.0003532320734722,sp,P46940,IQGA1_HUMAN
0.0003532320734722,sp,Q13151,ROA0_HUMAN
0.0003532320734722,sp,P82914,RT15_HUMAN
0.0003532320734722,sp,P13073,COX41_HUMAN
0.0003532320734722,sp,Q9BV38,WDR18_HUMAN
0.0003532320734722,sp,Q96C86,DCPS_HUMAN
0.0003532320734722,sp,Q9C0E2,XPO4_HUMAN
0.0003532320734722,sp,P60983,GMFB_HUMAN
0.0003532320734722,sp,P83916,CBX1_HUMAN
0.0003532320734722,sp,Q14258,TRI25_HUMAN
0.0003532320734722,sp,P46778,RL21_HUMAN
0.0003532320734722,sp,Q9Y266,NUDC_HUMAN
0.0003532320734722,sp,P06858,LIPL_HUMAN
0.0003532320734722,sp,Q14126,DSG2_HUMAN
0.0003532320734722,sp,P62328,TYB4_HUMAN
0.0003532320734722,sp,P13645,K1C10_HUMAN
0.0003532320734722,sp,Q00796,DHSO_HUMAN
0.0003532320734722,sp,O00567,NOP56_HUMAN
0.0003532320734722,sp,P62263,RS14_HUMAN
0.0003532320734722,sp,P30050,RL12_HUMAN
0.0003532320734722,sp,P00568,KAD1_HUMAN
0.0003532320734722,sp,Q14166,TTL12_HUMAN
0.0003532320734722,sp,Q2NL82,TSR1_HUMAN
0.0003532320734722,sp,P36578,RL4_HUMAN
0.0003532320734722,sp,P41252,SYIC_HUMAN
0.0003532320734722,sp,O00571,DDX3X_HUMAN
0.0003532320734722,sp,Q13263,TIF1B_HUMAN
0.0003532320734722,sp,P15880,RS2_HUMAN
0.0003532320734722,sp,Q9HC07,TM165_HUMAN
0.0003532320734722,sp,P21333,FLNA_HUMAN
0.0003532320734722,sp,P52815,RM12_HUMAN
0.0003532320734722,sp,P18669,PGAM1_HUMAN
0.0003532320734722,sp,P00491,PNPH_HUMAN
0.0003532320734722,sp,P21283,VATC1_HUMAN
0.0003532320734722,sp,O94903,PLPHP_HUMAN
0.0003532320734722,sp,Q13084,RM28_HUMAN
0.0003532320734722,sp,P61247,RS3A_HUMAN
0.0003532320734722,sp,P26038,MOES_HUMAN
0.0003532320734722,sp,P98160,PGBM_HUMAN
0.0003532320734722,sp,P48637,GSHB_HUMAN
0.0003532320734722,sp,Q96ST3,SIN3A_HUMAN
0.0003532320734722,sp,Q9Y5B9,SP16H_HUMAN
0.0003532320734722,sp,P51970,NDUA8_HUMAN
0.0003532320734722,sp,Q92621,NU205_HUMAN
0.0003532320734722,sp,P17980,PRS6A_HUMAN
0.0003532320734722,sp,Q96C36,P5CR2_HUMAN
0.0003532320734722,sp,Q92945,FUBP2_HUMAN
0.0003532320734722,sp,P98175-5,RBM10_HUMAN
0.0003532320734722,sp,P13489,RINI_HUMAN
0.0003532320734722,sp,Q8NFQ8,TOIP2_HUMAN
0.0003532320734722,sp,P49257,LMAN1_HUMAN
0.0003532320734722,sp,P55036,PSMD4_HUMAN
0.0003532320734722,sp,Q01995,TAGL_HUMAN
0.0003532320734722,sp,P04083,ANXA1_HUMAN
0.0003532320734722,sp,P62701,RS4X_HUMAN
0.0003532320734722,sp,Q86UE4,LYRIC_HUMAN
0.0003532320734722,sp,O15031,PLXB2_HUMAN
0.0003532320734722,sp,Q12905,ILF2_HUMAN
0.0003532320734722,sp,P07384,CAN1_HUMAN
0.0003532320734722,sp,Q8WVJ2,NUDC2_HUMAN
0.0003532320734722,sp,P09874,PARP1_HUMAN
0.0003532320734722,sp,P07814,SYEP_HUMAN
0.0003532320734722,sp,P43243,MATR3_HUMAN
0.0003532320734722,sp,P53992,SC24C_HUMAN
0.0003532320734722,sp,Q92616,GCN1_HUMAN
0.0003532320734722,sp,P23743,DGKA_HUMAN
0.0003532320734722,sp,Q07065,CKAP4_HUMAN
0.0003532320734722,sp,P46063,RECQ1_HUMAN
0.0003532320734722,sp,Q9Y230,RUVB2_HUMAN
0.0003532320734722,sp,P47989,XDH_HUMAN
0.0003532320734722,sp,P03956,MMP1_HUMAN
0.0003532320734722,sp,P62195,PRS8_HUMAN
0.0003532320734722,sp,P04632,CPNS1_HUMAN
0.0003532320734722,sp,P20700,LMNB1_HUMAN
0.0003532320734722,sp,P98179,RBM3_HUMAN
0.0003532320734722,sp,O00487,PSDE_HUMAN
0.0003532320734722,sp,P27694,RFA1_HUMAN
0.0003532320734722,sp,P33176,KINH_HUMAN
