Filename,Method,Num_Raw_Files,Num_Results
proteinGroups_picked_protein_group_no_remap_128.csv,picked_protein_group_no_remap,128,9283
proteinGroups_classic_grouping_no_remap_16.csv,classic_grouping_no_remap,16,7779
proteinGroups_savitski_subset_no_remap_1.csv,savitski_subset_no_remap,1,4272
proteinGroups_classic_rescue_grouping_no_remap_8192.csv,classic_rescue_grouping_no_remap,8192,16059
proteinGroups_picked_no_grouping_no_remap_16384.csv,picked_no_grouping_no_remap,16384,0
proteinGroups_picked_subset_no_remap_512.csv,picked_subset_no_remap,512,9884
proteinGroups_picked_protein_group_no_remap_64.csv,picked_protein_group_no_remap,64,8421
proteinGroups_classic_no_grouping_no_remap_512.csv,classic_no_grouping_no_remap,512,0
proteinGroups_picked_no_grouping_no_remap_16.csv,picked_no_grouping_no_remap,16,0
proteinGroups_picked_subset_no_remap_128.csv,picked_subset_no_remap,128,9258
proteinGroups_picked_subset_no_remap_16.csv,picked_subset_no_remap,16,6514
proteinGroups_classic_no_grouping_no_remap_128.csv,classic_no_grouping_no_remap,128,0
proteinGroups_savitski_subset_no_remap_2.csv,savitski_subset_no_remap,2,4852
proteinGroups_savitski_rescued_subset_no_remap_64.csv,savitski_rescued_subset_no_remap,64,10260
proteinGroups_picked_protein_group_no_remap_512.csv,picked_protein_group_no_remap,512,10324
proteinGroups_classic_rescue_grouping_no_remap_16384.csv,classic_rescue_grouping_no_remap,16384,15121
proteinGroups_picked_protein_group_no_remap_4.csv,picked_protein_group_no_remap,4,5243
proteinGroups_picked_subset_no_remap_4.csv,picked_subset_no_remap,4,5269
proteinGroups_picked_no_grouping_no_remap_512.csv,picked_no_grouping_no_remap,512,0
proteinGroups_picked_subset_no_remap_2048.csv,picked_subset_no_remap,2048,9113
proteinGroups_classic_rescue_grouping_no_remap_32.csv,classic_rescue_grouping_no_remap,32,9681
proteinGroups_classic_grouping_no_remap_2048.csv,classic_grouping_no_remap,2048,16812
proteinGroups_picked_no_grouping_no_remap_22796.csv,picked_no_grouping_no_remap,22796,0
proteinGroups_classic_grouping_no_remap_1024.csv,classic_grouping_no_remap,1024,18103
proteinGroups_picked_protein_group_no_remap_8192.csv,picked_protein_group_no_remap,8192,10644
proteinGroups_picked_protein_group_no_remap_1.csv,picked_protein_group_no_remap,1,4196
proteinGroups_picked_subset_no_remap_1024.csv,picked_subset_no_remap,1024,9760
proteinGroups_picked_subset_no_remap_1.csv,picked_subset_no_remap,1,4212
proteinGroups_savitski_rescued_subset_no_remap_512.csv,savitski_rescued_subset_no_remap,512,14612
proteinGroups_savitski_subset_no_remap_64.csv,savitski_subset_no_remap,64,10406
proteinGroups_picked_no_grouping_no_remap_8192.csv,picked_no_grouping_no_remap,8192,0
proteinGroups_classic_no_grouping_no_remap_1024.csv,classic_no_grouping_no_remap,1024,0
proteinGroups_savitski_subset_no_remap_256.csv,savitski_subset_no_remap,256,13440
proteinGroups_classic_no_grouping_no_remap_8.csv,classic_no_grouping_no_remap,8,0
proteinGroups_savitski_rescued_subset_no_remap_128.csv,savitski_rescued_subset_no_remap,128,11990
proteinGroups_classic_no_grouping_no_remap_16.csv,classic_no_grouping_no_remap,16,0
proteinGroups_savitski_subset_no_remap_4.csv,savitski_subset_no_remap,4,5482
proteinGroups_picked_no_grouping_no_remap_128.csv,picked_no_grouping_no_remap,128,0
proteinGroups_classic_rescue_grouping_no_remap_22796.csv,classic_rescue_grouping_no_remap,22796,14963
proteinGroups_picked_protein_group_no_remap_2.csv,picked_protein_group_no_remap,2,4696
proteinGroups_savitski_subset_no_remap_4096.csv,savitski_subset_no_remap,4096,12588
proteinGroups_classic_no_grouping_no_remap_2048.csv,classic_no_grouping_no_remap,2048,0
proteinGroups_picked_subset_no_remap_2.csv,picked_subset_no_remap,2,4725
proteinGroups_picked_no_grouping_no_remap_4096.csv,picked_no_grouping_no_remap,4096,0
proteinGroups_classic_rescue_grouping_no_remap_2.csv,classic_rescue_grouping_no_remap,2,4944
proteinGroups_savitski_rescued_subset_no_remap_2.csv,savitski_rescued_subset_no_remap,2,4823
proteinGroups_picked_protein_group_no_remap_4096.csv,picked_protein_group_no_remap,4096,10813
proteinGroups_picked_subset_no_remap_16384.csv,picked_subset_no_remap,16384,6474
proteinGroups_classic_no_grouping_no_remap_64.csv,classic_no_grouping_no_remap,64,0
proteinGroups_savitski_no_remap_4.csv,savitski_no_remap,4,0
proteinGroups_classic_no_grouping_no_remap_16384.csv,classic_no_grouping_no_remap,16384,0
proteinGroups_classic_grouping_no_remap_128.csv,classic_grouping_no_remap,128,14466
proteinGroups_picked_protein_group_no_remap_22796.csv,picked_protein_group_no_remap,22796,10403
proteinGroups_classic_grouping_no_remap_512.csv,classic_grouping_no_remap,512,17890
proteinGroups_savitski_subset_no_remap_8192.csv,savitski_subset_no_remap,8192,11051
proteinGroups_classic_rescue_grouping_no_remap_1.csv,classic_rescue_grouping_no_remap,1,4316
proteinGroups_savitski_rescued_subset_no_remap_1.csv,savitski_rescued_subset_no_remap,1,4257
proteinGroups_savitski_rescued_subset_no_remap_1024.csv,savitski_rescued_subset_no_remap,1024,15329
proteinGroups_savitski_rescued_subset_no_remap_2048.csv,savitski_rescued_subset_no_remap,2048,15442
proteinGroups_classic_grouping_no_remap_4.csv,classic_grouping_no_remap,4,5700
proteinGroups_savitski_subset_no_remap_16.csv,savitski_subset_no_remap,16,7173
proteinGroups_picked_no_grouping_no_remap_64.csv,picked_no_grouping_no_remap,64,0
