file name,target proteins,decoy proteins,num raw files,method
100_FDR_proteinGroups_savitski_subset_no_remap_16.csv,10060,2389,16,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_savitski_no_remap_2.csv,4284,266,2,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_2048.csv,26601,26375,2048,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_64.csv,9878,4635,64,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_128.csv,15092,7406,128,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_4.csv,8232,1342,4,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_1024.csv,21863,20263,1024,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_1.csv,6587,420,1,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_1.csv,6580,314,1,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_16.csv,9773,1589,16,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_22796.csv,29005,18397,22796,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_16384.csv,35109,36882,16384,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_savitski_no_remap_1.csv,3715,124,1,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_16.csv,10197,3461,16,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_16.csv,9963,3460,16,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_2.csv,7350,817,2,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_512.csv,18865,12154,512,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_2.csv,7336,605,2,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_4096.csv,24460,15510,4096,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_8.csv,5426,696,8,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_savitski_no_remap_512.csv,16218,7200,512,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_512.csv,18274,7031,512,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_128.csv,16856,11997,128,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_savitski_no_remap_4.csv,4855,435,4,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_savitski_no_remap_1024.csv,19251,9898,1024,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_2.csv,7400,817,2,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_savitski_no_remap_2048.csv,22772,13060,2048,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_256.csv,17934,9223,256,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_4096.csv,25451,15600,4096,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_picked_subset_no_remap_16.csv,9986,1574,16,proteinGroups_picked_subset_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_64.csv,9547,2327,64,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_classic_no_grouping_no_remap_22796.csv,35448,37260,22796,proteinGroups_classic_no_grouping_no_remap
100_FDR_proteinGroups_picked_no_grouping_no_remap_16384.csv,28740,18253,16384,proteinGroups_picked_no_grouping_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_8192.csv,26235,25635,8192,proteinGroups_savitski_rescued_subset_no_remap
100_FDR_proteinGroups_classic_grouping_no_remap_1.csv,6607,420,1,proteinGroups_classic_grouping_no_remap
100_FDR_proteinGroups_picked_protein_group_no_remap_128.csv,14746,4198,128,proteinGroups_picked_protein_group_no_remap
100_FDR_proteinGroups_classic_rescue_grouping_no_remap_4.csv,8144,1342,4,proteinGroups_classic_rescue_grouping_no_remap
100_FDR_proteinGroups_savitski_no_remap_128.csv,11317,3651,128,proteinGroups_savitski_no_remap
100_FDR_proteinGroups_savitski_subset_no_remap_8192.csv,30685,21794,8192,proteinGroups_savitski_subset_no_remap
100_FDR_proteinGroups_savitski_rescued_subset_no_remap_4.csv,8125,974,4,proteinGroups_savitski_rescued_subset_no_remap
