Protein Uniprot,Protein names,Length,Mass
A0A087X1C5,Putative cytochrome P450 2D7 (EC 1.14.14.1),515,57489
A0A0B4J2F0,Protein PIGBOS1 (PIGB opposite strand protein 1),54,6313
A0A0B4J2F2,Putative serine/threonine-protein kinase SIK1B (EC 2.7.11.1) (Salt-inducible kinase 1B),783,84930
A0A0C5B5G6,Mitochondrial-derived peptide MOTS-c (Mitochondrial open reading frame of the 12S rRNA-c),16,2175
A0A0K2S4Q6,Protein CD300H (CD300 antigen-like family member H),201,21806
A0A0U1RRE5,Negative regulator of P-body association (P-body dissociating protein) (Protein NoBody),68,7025
A0A1B0GTW7,Ciliated left-right organizer metallopeptidase (EC 3.4.24.-) (Leishmanolysin-like peptidase 2),788,85397
A0A5B9,T cell receptor beta constant 2,178,19968
A0AV02,Solute carrier family 12 member 8 (Cation-chloride cotransporter 9),714,78239
A0AV96,RNA-binding protein 47 (RNA-binding motif protein 47),593,64099
A0AVF1,Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26),554,64178
A0AVI4,E3 ubiquitin-protein ligase TM129 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TM129),362,40464
A0AVK6,Transcription factor E2F8 (E2F-8),867,94166
A0AVT1,Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2),1052,117970
A0FGR8,Extended synaptotagmin-2 (E-Syt2) (Chr2Syt),921,102357
A0FGR9,Extended synaptotagmin-3 (E-Syt3) (Chr3Syt),886,100035
A0JLT2,Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19),244,26273
A0JNW5,Bridge-like lipid transfer protein family member 3B (Syntaxin-6 Habc-interacting protein of 164 kDa) (UHRF1-binding protein 1-like),1464,164199
A0JP26,POTE ankyrin domain family member B3,581,65710
A0M8Q6,Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region),106,11254
A0MZ66,Shootin-1 (Shootin1),631,71640
A0PJK1,Sodium/mannose cotransporter SLC5A10 (Sodium/glucose cotransporter 5) (Na(+)/glucose cotransporter 5) (Solute carrier family 5 member 10),596,64342
A0PJY2,Fez family zinc finger protein 1 (Zinc finger protein 312B),475,52038
A0PK00,Transmembrane protein 120B,339,40246
A0PK11,Clarin-2,232,25446
A1A4S6,Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10),786,89375
A1A4Y4,Immunity-related GTPase family M protein (EC 3.6.5.-) (Immunity-related GTPase family M protein 1) (Interferon-inducible protein 1) (LPS-stimulated RAW 264.7 macrophage protein 47 homolog) (LRG-47),181,20142
A1A519,Protein FAM170A (Zinc finger domain-containing protein) (Zinc finger protein ZNFD),330,37158
A1A5B4,Anoctamin-9 (Transmembrane protein 16J) (Tumor protein p53-inducible protein 5) (p53-induced gene 5 protein),782,90333
A1A5C7,Solute carrier family 22 member 23,686,73748
A1E959,Odontogenic ameloblast-associated protein (Apin),279,30777
A1KXE4,Myelin-associated neurite-outgrowth inhibitor (Mani) (p20),195,20324
A1KZ92,Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2),1463,163686
A1L0T0,2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein),632,67868
A1L167,Ubiquitin-conjugating enzyme E2Q-like protein 1 (EC 2.3.2.23) (E2Q-like ubiquitin-conjugating enzyme 1),161,18338
A1L190,Synaptonemal complex central element protein 3 (Testis highly expressed gene 2 protein) (THEG-2),88,10601
A1L390,Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3),1219,134412
A1L3X0,Elongation of very long chain fatty acids protein 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7),281,33356
A1L4H1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D (Soluble scavenger protein with 5 SRCR domains) (SSc5D),1573,165743
A1L4K1,Fibronectin type III and SPRY domain-containing protein 2 (SPRY domain-containing protein 1),749,85385
